Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;Field Position;Player on C1;Type of service;Zona de C1;Tipo de recepcion;Game Phase;Rally Outcome;Rest Time;Reves;Barrido Fuerte;Match Duration
Line Kjaersfeldt;"-14;6 (1)";2;3;1;222280;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;1;;;;;Defence;;;;;
Clara Azurmendi;"-11;1 (1)";2;4;1;223520;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;NET;;;;;Construccion;Error Line Kjaersfeldt;;;;
Clara Azurmendi;Rest Time (2);2;;;226040;15040;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;;1;1;All England 2022;46;;;;;;;;Rest Time;;;
Clara Azurmendi;Rally Time (3);3;;;241080;7280;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;;;;;;;;;;;
Clara Azurmendi;"1;-24 (1)";3;1;6;239080;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;6;Clara Azurmendi;Backhand flick;9;;Construccion;;;;;
Line Kjaersfeldt;"-2;54 (1)";3;2;10;239880;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;10;;;;;Construccion;;;;;
Clara Azurmendi;"-15;-54 (1)";3;3;12;239880;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Defence;;;;;
Line Kjaersfeldt;"-14;56 (1)";3;4;9;241760;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;9;;;;;Construccion;;;;;
Clara Azurmendi;"-15;-56 (1)";3;5;12;241760;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Construccion;;;;;
Line Kjaersfeldt;"-13;15 (1)";3;6;1;241760;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;1;;;;;Defence;;;;;
Clara Azurmendi;"13;-8 (1)";3;7;1;244680;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;1;;;;;Defence;;;;;
Line Kjaersfeldt;"-2;1 (1)";3;8;2;245720;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;NET;;;;;Construccion;Error Clara Azurmendi;;;;
Line Kjaersfeldt;Rest Time (3);3;;;248360;23080;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;;1;1;All England 2022;46;;;;;;;;Rest Time;;;
Line Kjaersfeldt;Rally Time (4);4;;;271440;4160;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;;;;;;;;;;;
Line Kjaersfeldt;"2;24 (1)";4;1;7;269440;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;7;Line Kjaersfeldt;Backhand short service;7;;Construccion;;;;;
Clara Azurmendi;"-10;-18 (1)";4;2;4;270480;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;4;;;;Finta;Construccion;;;;;
Line Kjaersfeldt;"-15;54 (1)";4;3;9;270480;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;9;;;;;Defence;;;Reves;;
Clara Azurmendi;"-14;-7 (1)";4;4;4;271400;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;4;;;;;Defence;;;;;
Line Kjaersfeldt;"-19;11 (1)";4;5;Out;272560;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;OUT SIDE;;;;;Construccion;Error Clara Azurmendi;;;;
Clara Azurmendi;Rest Time (4);4;;;275600;11280;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;;1;1;All England 2022;46;;;;;;;;Rest Time;;;
Clara Azurmendi;Rally Time (5);5;;;286880;2720;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;;;;;;;;;;;
Line Kjaersfeldt;"-2;24 (1)";5;1;6;284880;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;6;Line Kjaersfeldt;Backhand short service;2;;Construccion;;;;;
Clara Azurmendi;"4;-17 (1)";5;2;2;285760;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;2;;;;;Construccion;;;;;
Line Kjaersfeldt;"-13;55 (1)";5;3;9;285760;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;9;;;;;Attack;;;;;
Clara Azurmendi;"10;-37 (1)";5;4;5;287560;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;5;;;;;Construccion;Winner Line Kjaersfeldt;;;;
Clara Azurmendi;Rest Time (5);5;;;289600;15760;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;;1;1;All England 2022;46;;;;;;;;Rest Time;;;
Clara Azurmendi;Rally Time (6);6;;;305360;9480;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;;;;;;;;;;;
Line Kjaersfeldt;"2;24 (2)";6;1;7;303360;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;7;Line Kjaersfeldt;Backhand short service;5;;Construccion;;;;;
Clara Azurmendi;"-3;-17 (1)";6;2;3;304360;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;3;;;;;Construccion;;;;;
Line Kjaersfeldt;"-15;12 (1)";6;3;1;304360;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;1;;;;;Defence;;;;;
Clara Azurmendi;"16;-55 (1)";6;4;9;305120;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;9;;;;;Construccion;;;;;
Line Kjaersfeldt;"14;56 (1)";6;5;12;305120;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Defence;;;;;
Clara Azurmendi;"15;-55 (1)";6;6;9;307280;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;9;;;;;Construccion;;;;;
Line Kjaersfeldt;"11;29 (1)";6;7;8;307280;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;8;;;;;Construccion;;;;;
Clara Azurmendi;"-12;-14 (1)";6;8;4;307280;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;4;;;;;Defence;;;;;
Line Kjaersfeldt;"-14;10 (1)";6;9;1;310360;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;1;;;;;Construccion;;;;;
Clara Azurmendi;"19;-55 (1)";6;10;Out;310360;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;OUT SIDE;;;;;Construccion;Unforced Line Kjaersfeldt;;;;
Clara Azurmendi;Rest Time (6);6;;;314840;14440;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;;1;1;All England 2022;46;;;;;;;;Rest Time;;;
Clara Azurmendi;Rally Time (7);7;;;329280;6760;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;;;;;;;;;;;
Clara Azurmendi;"-2;-24 (1)";7;1;7;327280;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;7;Clara Azurmendi;Backhand short service;7;;Construccion;;;;;
Line Kjaersfeldt;"11;19 (1)";7;2;4;328280;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;4;;;;Finta;Construccion;;;;;
Clara Azurmendi;"15;-54 (1)";7;3;9;328280;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;9;;;;;Defence;;;Reves;;
Line Kjaersfeldt;"13;9 (1)";7;4;4;329360;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;4;;;;;Construccion;;;;;
Clara Azurmendi;"15;-55 (2)";7;5;9;329360;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;9;;;;;Defence;;;Reves;;
Line Kjaersfeldt;"11;55 (1)";7;6;12;331520;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Construccion;;;;;
Clara Azurmendi;"10;-55 (1)";7;7;9;331520;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;9;;;;;Attack;;;;;
Line Kjaersfeldt;"-13;23 (1)";7;8;5;333440;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;5;;;;;Construccion;Winner Clara Azurmendi;;;;
Line Kjaersfeldt;Rest Time (7);7;;;336040;13640;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;;1;1;All England 2022;46;;;;;;;;Rest Time;;;
Line Kjaersfeldt;Rally Time (8);8;;;349680;5120;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;;;;;;;;;;;
Clara Azurmendi;"2;-25 (1)";8;1;6;347680;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;6;Clara Azurmendi;Backhand short service;6;;Construccion;;;;;
Line Kjaersfeldt;"-5;18 (1)";8;2;2;348600;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;2;;;;;Construccion;;;;;
Clara Azurmendi;"-15;-15 (1)";8;3;4;348600;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;4;;;;;Construccion;;;;;
Line Kjaersfeldt;"-14;54 (1)";8;4;9;348600;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;9;;;;;Defence;;;;;
Clara Azurmendi;"-14;-8 (1)";8;5;4;350360;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;4;;;;;Defence;;;;;
Line Kjaersfeldt;"-14;1 (1)";8;6;1;351560;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;NET;;;;;Construccion;Error Clara Azurmendi;;;;
Line Kjaersfeldt;Rest Time (8);8;;;354800;15560;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;;1;1;All England 2022;46;;;;;;;;Rest Time;;;
Line Kjaersfeldt;Rally Time (9);9;;;370360;11600;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;;;;;;;;;;;
Line Kjaersfeldt;"-2;24 (2)";9;1;6;368360;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;6;Line Kjaersfeldt;Backhand short service;6;;Construccion;;;;;
Clara Azurmendi;"5;-18 (2)";9;2;2;369480;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;2;;;;Modificada;Construccion;;;;;
Line Kjaersfeldt;"-14;12 (1)";9;3;1;369520;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;1;;;;;Defence;;;;;
Clara Azurmendi;"-4;-54 (1)";9;4;11;371040;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;11;;;;;Attack;;;;;
Line Kjaersfeldt;"15;37 (1)";9;5;8;372080;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;8;;;;;Defence;;;;;
Clara Azurmendi;"14;-54 (1)";9;6;9;372680;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;9;;;;;Construccion;;;;;
Line Kjaersfeldt;"14;55 (1)";9;7;12;372680;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Defence;;;;;
Clara Azurmendi;"12;-7 (1)";9;8;1;374280;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;1;;;;;Construccion;;;;;
Line Kjaersfeldt;"13;7 (1)";9;9;4;374280;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;4;;;;;Defence;;;;;
Clara Azurmendi;"3;-56 (1)";9;10;10;376840;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;10;;;;;Construccion;;;;;
Line Kjaersfeldt;"13;34 (1)";9;11;8;376840;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;8;;;;;Defence;;;;;
Clara Azurmendi;"-6;1 (1)";9;12;2;379040;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;NET;;;;;Construccion;Error Line Kjaersfeldt;;;;
Clara Azurmendi;Rest Time (9);9;;;381960;16120;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;;1;1;All England 2022;46;;;;;;;;Rest Time;;;
Clara Azurmendi;Rally Time (10);10;;;398080;2000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;;;;;;;;;;;
Clara Azurmendi;"-2;-25 (1)";10;1;7;396080;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;7;Clara Azurmendi;Backhand flick;10;;Construccion;;;;;
Line Kjaersfeldt;"8;53 (1)";10;2;12;397200;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Attack;;;;;
Clara Azurmendi;"15;-41 (1)";10;3;5;397680;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;5;;;;;Construccion;Winner Line Kjaersfeldt;;;;
Line Kjaersfeldt;Rest Time (10);10;;;400080;17640;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;;1;1;All England 2022;46;;;;;;;;Rest Time;;;
Line Kjaersfeldt;Rally Time (11);11;;;417720;4760;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;;;;;;;;;;;
Line Kjaersfeldt;"2;24 (3)";11;1;7;415720;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;7;Line Kjaersfeldt;Backhand short service;8;;Construccion;;;;;
Clara Azurmendi;"-14;-18 (1)";11;2;4;416760;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;4;;;;Finta;Construccion;;;;;
Line Kjaersfeldt;"13;11 (1)";11;3;4;416800;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;4;;;;;Defence;;;;;
Clara Azurmendi;"-14;-55 (2)";11;4;12;417880;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Construccion;;;;;
Line Kjaersfeldt;"-15;61 (1)";11;5;9;417880;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;OUT LENGTH;;;;;Construccion;Unforced Clara Azurmendi;;;;
Clara Azurmendi;Rest Time (11);11;;;422480;16160;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;;1;1;All England 2022;46;;;;;;;;Rest Time;;;
Clara Azurmendi;Rally Time (12);12;;;438640;9760;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;;;;;;;;;;;
Line Kjaersfeldt;"-2;23 (1)";12;1;6;436640;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;6;Line Kjaersfeldt;Backhand short service;6;;Construccion;;;;;
Clara Azurmendi;"5;-18 (3)";12;2;2;437680;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;2;;;;Modificada;Construccion;;;;;
Line Kjaersfeldt;"-13;6 (1)";12;3;1;437680;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;1;;;;;Construccion;;;;;
Clara Azurmendi;"-14;-7 (2)";12;4;4;437680;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;4;;;;;Defence;;;;;
Line Kjaersfeldt;"-10;55 (1)";12;5;9;440440;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;9;;;;;Construccion;;;;;
Clara Azurmendi;"-14;-55 (3)";12;6;12;440440;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Construccion;;;;;
Line Kjaersfeldt;"-14;6 (2)";12;7;1;440440;5000;5;ESP;DEN;Before;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;1;;;;;Construccion;;;;;
