Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Game Phase;Reves;Rally Outcome;Rest Time;Tipo de recepcion;Barrido Fuerte;Match Duration
Lo Sin Yan Happy;"11;-13 (1)";9;4;1;496520;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;1;;;;Construccion;;;;;;
Ania Setien;"12;8 (2)";9;5;4;496520;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;4;;;;Defence;;;;;;
Lo Sin Yan Happy;"10;-6 (1)";9;6;1;498480;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;1;;;;Construccion;;;;;;
Ania Setien;"9;5 (1)";9;7;4;498480;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;4;;;;Construccion;;;;;;
Lo Sin Yan Happy;"-4;-6 (1)";9;8;3;498480;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;3;;;;Defence;;;;;;
Ania Setien;"-9;53 (1)";9;9;9;502400;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;9;;;;Attack;;;;;;
Lo Sin Yan Happy;"-3;-40 (2)";9;10;7;503400;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;7;;;;Defence;;;;;;
Ania Setien;"-3;10 (1)";9;11;2;503960;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;2;;;;Construccion;;;;;;
Lo Sin Yan Happy;"13;-8 (1)";9;12;1;503960;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;1;;;;Construccion;;;;;;
Ania Setien;"14;53 (2)";9;13;12;503960;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;12;;;;Defence;Reves;;;;;
Lo Sin Yan Happy;"15;2 (1)";9;14;4;506560;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;NET;;;;Construccion;;Error Ania Setien;;;;
Lo Sin Yan Happy;Rest Time (9);9;;;509280;13800;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;;3;1;Luxembourg Open 2023;109;261;;;;;;;;Rest Time;;;
Lo Sin Yan Happy;Rally Time (10);10;;;523080;11920;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;;;;;;;;;;;
Lo Sin Yan Happy;"-2;-25 (1)";10;1;7;521080;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;7;Lo Sin Yan Happy;Forehand short service;7;Construccion;;;;;;
Ania Setien;"11;17 (1)";10;2;4;522280;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;4;;;;Construccion;;;;Finta;;
Lo Sin Yan Happy;"13;-54 (1)";10;3;9;522320;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;9;;;;Defence;Reves;;;;;
Ania Setien;"11;7 (1)";10;4;4;523200;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;4;;;;Construccion;;;;;;
Lo Sin Yan Happy;"-15;-14 (1)";10;5;4;523200;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;4;;;;Construccion;;;;;;
Ania Setien;"-14;55 (2)";10;6;9;523200;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;9;;;;Defence;;;;;;
Lo Sin Yan Happy;"4;-16 (1)";10;7;2;525880;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;2;;;;Construccion;;;;;;
Ania Setien;"-12;9 (1)";10;8;1;525880;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;1;;;;Defence;;;;;;
Lo Sin Yan Happy;"9;-55 (1)";10;9;9;528320;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;9;;;;Construccion;;;;;;
Ania Setien;"-14;15 (2)";10;10;1;528320;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;1;;;;Defence;;;;;;
Lo Sin Yan Happy;"-15;-55 (1)";10;11;12;530440;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;12;;;;Defence;;;;;;
Ania Setien;"-14;54 (2)";10;12;9;531480;5000;5;ESP;HGK;Before;Ania Setien-Lo Sin Yan Happy;Left handed;Right handed;Ania Setien;Lo Sin Yan Happy;Rally Time;3;1;Luxembourg Open 2023;109;261;9;;;;Attack;;;;;;
